"label","translation","comment"
"% of the total","% del totale","Automatically translated"
"% of the total, i.e.","% del totale, cioè","Automatically translated"
"A shareable link, in that case first sheet will be read","Un link condivisibile, in questo caso sarà letta la prima scheda",""
"Add a label to data","Aggiungi un'etichetta ai dati",""
"Add a row","Aggiungi una riga",""
"Apply changes","Applica le modifiche",""
"Browse...","Sfoglia...",""
"Cancel","Annulla",""
"Choose a name for the column to be created or modified,","Scegli un nome per la colonna da creare o modificare,","Automatically translated"
"Choose a number of rows :","Scegli un numero di righe:","Automatically translated"
"Choose a percentage :","Scegli una percentuale:","Automatically translated"
"Click on a column name to add it to the expression:","Clicca sul nome di una colonna per aggiungerla all'espressione:","Automatically translated"
"Click to delete","Clicca per eliminare",""
"Click to edit","Clicca per modificare",""
"Close","Chiudi",""
"Close intervals on the right","Intervalli chiusi a destra","Automatically translated"
"Column added!","Colonna aggiunta","Automatically translated"
"Convert Numeric to Factor","Coverti una variabile numerica in una discreta","Automatically translated"
"Copy & paste data","Copia e incolla i valori","Automatically translated"
"Copy / Paste","Copia / Incolla",""
"Count","Conteggio","Automatically translated"
"Create a new column","Crea una nuova colonna","Automatically translated"
"Create a new variable otherwise replaces the one selected","Crea una nuova variabile o sostituisci quella selezionata","Automatically translated"
"Create column","Crea una colunna","Automatically translated"
"Create factor variable","Crea una variabile discreta","Automatically translated"
"Data has %s observations and %s variables.","I dati hanno %s osservazioni e %s variabili.",""
"Data ready to be imported!","Dati pronti per l'importazione!","Automatically translated"
"Data successfully imported!","Dati importati con successo!",""
"Data successfully updated!","Dati aggiornati con successo!",""
"Data wasn't deleted","I dati non sono stati eliminati","Automatically translated"
"Data wasn't updated","I dati non sono stati aggiornati","Automatically translated"
"Dataset validation:","Validazione del dataset:","Automatically translated"
"Date format:","Formato della data:",""
"Date to use as origin to convert date/datetime:","Data da usare come origine per convertire le date:",""
"Decimal separator:","Separatore decimale:",""
"Delete","Elimina",""
"Do you want to delete the selected row ?","Vuoi eliminare la riga selezionata?",""
"Encoding:","Codifica:",""
"Enter URL to data:","Inserisci l'URL dei dati:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","Inserisci un link condivisibile di GoogleSheet:",""
"Enter an expression to define new column:","Inserisci un'espressione per definire una nuova colonna:","Automatically translated"
"Environment","Ambiente",""
"Error","Errore",""
"External file","File",""
"Factor variable to reorder:","Variabile discreta da riordinare:","Automatically translated"
"Failed","Fallito",""
"First five rows are shown below:","Qui sotto sono mostrate le prime cinque righe:",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Raggruppa per:","Automatically translated"
"Help","Aiuto",""
"How to import data?","Come importare i dati?",""
"Import","Importare",""
"Import Google Spreadsheet","Importa da Google Spreadsheet","Automatically translated"
"Import Url","URL per l'importazione","Automatically translated"
"Import a dataset from an environment","Importa il dataset da un'ambiente","Automatically translated"
"Import a file","Importare un file","Automatically translated"
"Import data","Importare dati",""
"Imported data","Dati importati","Automatically translated"
"Include lowest value","Includi il valore minore","Automatically translated"
"Information","Informazione",""
"Item has been modified","L'elemento è stato modificato",""
"Levels","Livelli","Automatically translated"
"List of data.frame...","Elenco dei data.frame...",""
"Max:","Massimo:","Automatically translated"
"Mean:","Media:","Automatically translated"
"Method:","Metodo:","Automatically translated"
"Min:","Minimo:","Automatically translated"
"Missing values characters:","Identificativo per i valori mancanti:","Automatically translated"
"Missing:","Mancante:","Automatically translated"
"Most Common:","Il più frequente:","Automatically translated"
"New column name cannot be empty","Il nome della nuova colonna non può essere vuoto","Automatically translated"
"New column name:","Nuovo nome della colonna:","Automatically translated"
"No","No",""
"No data selected!","Nessun dato selezionato!",""
"No data to display.","Nessun dato da mostrare.",""
"No data.frame here...","Nessun data.frame...",""
"No file selected","Nessun file selezionato",""
"No file selected:","Nessun file selezionato:",""
"Not a data.frame","Non è un data.frame","Automatically translated"
"Nothing pasted yet!","Non è ancora stato incollato nulla!",""
"Number of breaks:","Numero di intervalli:","Automatically translated"
"Number of rows:","Numero di righe:",""
"OK","OK",""
"Ooops","Ooops",""
"Paste data here:","Incolla i dati qui:",""
"Please copy and paste some data in the dialog box above.","Copia e incolla i dati nel riquadro sovrastante.",""
"Please fill in the required fields","Riempi i campi obbligatori",""
"Please paste a valid GoogleSheet link in the dialog box above.","Incolla un link valido di GoogleSheet nel riquadro sovrastante.",""
"Please paste a valid link in the dialog box above.","Incolla un link valido nel riquadro sovrastante.","Automatically translated"
"Registered","Registrato",""
